State,Year,AvgTemp,AvgHumidity,TotalRainfall,Crop,Season,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Karnataka,2017,27.9,64,920,Soyabean,Kharif     ,276536.0,423142.0,1111.7,43537827.84,105083.68,1.406
Karnataka,2018,28.7,66,1052,Soyabean,Kharif     ,261855.0,257221.0,1419.1,42472881.0,91649.25,1.0025
Karnataka,2019,28.2,65,947,Soyabean,Kharif     ,336850.0,378700.0,1422.3,57857356.0,124634.5,1.065555556
Meghalaya,2008,17.2,85,2442,Soyabean,Kharif     ,1055.0,1163.0,3114.3,150907.2,94.95,1.061428571
Meghalaya,2010,17.5,86,2515,Soyabean,Kharif     ,1078.0,1186.0,3119.7,179066.58,258.72,1.038571429
Meghalaya,2011,17.1,85,2428,Soyabean,Kharif     ,1098.0,1231.0,4083.104545,183936.96,362.34,1.082857143
Meghalaya,2012,17.8,87,2597,Soyabean,Kharif     ,1589.0,2912.0,2945.3,239621.2,492.59,1.94
Meghalaya,2013,17.4,84,2402,Soyabean,Kharif     ,1649.0,3107.0,2448.4,238264.01,445.23,2.158181818
Meghalaya,2014,18.1,86,2642,Soyabean,Kharif     ,1712.0,3332.0,3484.4,258443.52,564.96,2.221818182
Meghalaya,2015,17.7,85,2516,Soyabean,Kharif     ,1735.0,3439.0,3870.8,273973.85,572.55,2.27
Meghalaya,2016,18.4,87,2612,Soyabean,Kharif     ,1850.0,3502.0,3837.1,283512.5,647.5,2.144545455
Meghalaya,2017,18.0,85,2487,Soyabean,Kharif     ,1857.0,3524.0,4472.3,292366.08,705.66,2.148181818
Meghalaya,2018,18.7,87,2692,Soyabean,Kharif     ,1868.0,3550.0,5649.1,302989.6,653.8,2.144545455
Meghalaya,2019,18.3,86,2567,Soyabean,Kharif     ,1873.0,3570.0,3844.4,321706.48,693.01,2.148181818
Chhattisgarh,2008,26.2,72,1382,Soyabean,Kharif     ,81764.0,79859.0,1117.9,11695522.56,7358.76,1.242857143
Chhattisgarh,2009,25.8,71,1307,Soyabean,Kharif     ,83734.0,77837.0,956.9,13047431.88,14234.78,0.937692308
Chhattisgarh,2010,26.5,73,1454,Soyabean,Kharif     ,95758.0,112391.0,1283.1,15906361.38,22981.92,1.113076923
Chhattisgarh,2011,26.1,72,1357,Soyabean,Kharif     ,103220.0,84641.0,1302.7,17291414.4,34062.6,0.848181818
Chhattisgarh,2012,26.8,74,1524,Soyabean,Kharif     ,101457.0,126111.0,1366.8,15299715.6,31451.67,1.294761905
Chhattisgarh,2013,26.4,71,1342,Soyabean,Kharif     ,107772.0,111862.0,1418.3,15571976.28,29098.44,1.091578947
Chhattisgarh,2014,27.1,73,1587,Soyabean,Kharif     ,102811.0,50070.0,1274.7,15520348.56,33927.63,0.799565217
Chhattisgarh,2015,26.7,72,1426,Soyabean,Kharif     ,114985.0,40098.0,1136.0,18157281.35,37945.05,0.532222222
Chhattisgarh,2016,27.4,74,1504,Soyabean,Kharif     ,96241.0,76127.0,1298.9,14748933.25,33684.35,1.375333333
Chhattisgarh,2017,27.0,72,1450,Soyabean,Kharif     ,91560.0,30307.0,1124.5,14415206.4,34792.8,0.396
Chhattisgarh,2018,27.7,74,1572,Soyabean,Kharif     ,81562.0,52197.0,1515.5,13229356.4,28546.7,0.764705882
Chhattisgarh,2019,27.3,73,1495,Soyabean,Kharif     ,75112.0,82999.0,1420.3,12901237.12,27791.44,1.096428571
Manipur,2008,21.8,84,2256,Soyabean,Kharif     ,4983.0,3809.0,1134.8,712768.32,448.47,0.743333333
Manipur,2009,21.4,83,2187,Soyabean,Kharif     ,565.0,340.0,992.5,88038.3,96.05,0.543333333
Manipur,2010,22.1,85,2345,Soyabean,Kharif     ,4675.0,3635.0,2160.5,776564.25,1122.0,0.758888889
Manipur,2011,21.7,84,2238,Soyabean,Kharif     ,5045.0,4504.0,1533.561905,845138.4,1664.85,0.891111111
Manipur,2012,22.4,86,2417,Soyabean,Kharif     ,4855.0,3941.0,1176.7,732134.0,1505.05,0.793333333
Manipur,2013,22.0,83,2192,Soyabean,Kharif     ,5050.0,4300.0,1428.8,729674.5,1363.5,0.841111111
Manipur,2014,22.7,85,2492,Soyabean,Kharif     ,5055.0,4322.0,987.5,763102.8,1668.15,0.842222222
Manipur,2015,22.3,84,2346,Soyabean,Kharif     ,5105.0,4283.0,1329.1,806130.55,1684.65,0.835555556
Manipur,2016,23.0,86,2464,Soyabean,Kharif     ,5100.0,4326.0,2039.8,781575.0,1785.0,0.845555556
Manipur,2017,22.6,84,2327,Soyabean,Kharif     ,5070.0,4598.0,1780.0,798220.8,1926.6,0.911111111
Manipur,2018,23.3,86,2542,Soyabean,Kharif     ,4904.0,4415.0,1196.9,795428.8,1716.4,0.903333333
West Bengal,2008,27.3,80,1957,Soyabean,Kharif     ,537.0,322.0,1560.1,76812.48,48.33,0.5775
West Bengal,2009,26.9,79,1882,Soyabean,Kharif     ,551.0,332.0,1317.2,85856.82,93.67,0.64
West Bengal,2010,27.6,81,2035,Soyabean,Kharif     ,529.0,316.0,1096.0,87872.19,126.96,0.65
West Bengal,2011,27.2,80,1928,Soyabean,Kharif     ,581.0,474.0,1686.5,97329.12,191.73,0.72
West Bengal,2012,27.9,82,2107,Soyabean,Kharif     ,543.0,439.0,1566.0,81884.4,168.33,0.7
West Bengal,2013,27.5,79,1892,Soyabean,Kharif     ,582.0,407.0,1939.9,84093.18,157.14,0.6225
West Bengal,2014,28.2,81,2180,Soyabean,Kharif     ,595.0,417.0,1483.5,89821.2,196.35,0.5925
West Bengal,2015,27.8,80,1976,Soyabean,Kharif     ,600.0,436.0,1717.0,94746.0,198.0,0.62
West Bengal,2016,28.5,82,2164,Soyabean,Kharif     ,605.0,443.0,1795.8,92716.25,211.75,0.6275
West Bengal,2017,28.1,80,1947,Soyabean,Kharif     ,398.0,380.0,1830.0,62661.12,151.24,0.883333333
West Bengal,2018,28.8,82,2242,Soyabean,Kharif     ,416.0,334.0,2012.6,67475.2,145.6,1.036666667
West Bengal,2019,28.4,81,2037,Soyabean,Kharif     ,249.0,194.0,1733.4,42768.24,92.13,1.255
